1|אָטיג איז דער װעג, װאס פיהרט אין שטעדטעל אַרײן.
2|עסז זאַ פאַר פּוריטאָג, דער שנעע אױף די פעלדער צולאָזט זיך און געהט, אוז איבער דער אױבערדעק פון דער װײסער שנעע-װעלט װײזען זיך שזין א און דאָרט שװאַרצע ערד-פלעקען אַרױס.
3|דער זױמען.
4|ותלער האָט זיך איבער דעם גאַנצען װינטער הינטער דער שנעע-דעק אין ער ערד אױפגעהאַלטען  איז װײך געװאָרען, צשפּאָלטען, און זײנע שפּראָצענדיגע װאָרצלען הױבען אַן צו נאָגען חיונה פון דער ממערד.
5|און אין די שװאַרצע ערד-פלעקען איז עס צו דערקענען.
6|אַז די מאַמע ערד איז טראָגעדיק.
7|װײט אױף בײדע זײטען װעג שרשען די ליפּען-בױמער, געהט אַן אײנזאמער װאַנדערער מיט'ן פּעעל אױפ'ז פּלײצע און מיט'ן שטעקען אין דער האַנד.
8|שװאַרצע קראָהען פליהען ארט װײט איבער'ן װעג, פון בױם צו בױם, און שאַרען טב מימ זײערע גרױע פיסלעך די װײסע, לאַנגע שנעע-שנירלער, װאָס זײנען אױף די צװײגען פון די בױמער.
9|דעם װאַנדערער'ס װעג פיהרט איז שטעדטעל אַרײן, קום מיט מיט איהם.
10|און װאָס מיר װעלען זעהן און װאָס מיר װעלען הערען, װעגען מיר אין דעם בוך בעשרײבש:
11|קאַפּיטל איינס דישטוב
12|די טיר פון דער שטוב איז אָפען א גאַנצען מה און אַ גאנצע נאַכט.
13|און װי אין אַ גאַסט-הױז דרעהט מען זיך דאָרט תּמיד ארײן און אַרױס.
14|איז'ן איז ש ר' ישקאל גאבינער'ס שטוב, האָר שד  א שטאדטשטוב, אַ שזת-הרבים, אַזױ, אַז אַ װילדפרעער אט אַרײן און זעצט זל אַניער, געהט ניט אָן די קשיא:,.ומס וש אקר זאָגען.
15|ר' יוד?
16|ח זײנען ע אין דערהײם.
17|פערלאָזט אַ שטאָדט-בעל-הבית דין הײם אין דער פריה אָהן אַ גלאָז װאַרימס, געהט ער זיך פּראָסט מיט טלית און תּפילין אַריבער צו ר' יחזקאל'ן אין שטוב אַרײן, און װי אַ הײמישער, הײט ער אײנער פון די דיענסמען, אַז זי זל איהם אַ אז טהײ דערלאַרגש.
18|מער איז מסוגל די  טוב צו אַ גלעזעל משטש: נאָך איהם זמט מען אַרײן אין אַ זױנטערימען נאָכ'ן גישעז.
19|אז דער פראָסט קנאַקט, און מען װיל זיך די גליעדער אָנװאַרשען.
20|און װער שמועמ האָר, אַז מען קאָכט בײ מלכה'לען  ר' יחזקאל'ס װײב  דעם קמבבאָרשטש.
21|צו נעהמען אין.,שטוב איז ניט קײן חרפּה, דער מנהג איז שױן אַזױ: אַ גלעזעל בטרשטט  אַ טרונק װאַסער.
22|פױלט זיך נאָר אַ אאָדר בעל-הבית'טע דעם אױוען אונטערצוהײצען, נעהמט זי איהר טעפּעל און טשט עס ש לכהעס קיך אַריבער.
23|און אין משה'מ קיה געפינען זיך ד גאַנצע שטאַדט מעפּלעד.
24|מהײלמל בּערטױישען זיך די בעלי-הבית'טעס מיט די טעפּלעך, װערט דאָרט א לעבש.
25|מאַכט זיך אַ יונגעל אַ ברוגז אין דער הײם, האַלט ער זיך אױף אין ר' יחזקאל'ס שטאַלען.
26|צו זאָרגען איז נישט דאָ װאָס, ברױט און זעמעל
27|וגרען בײ יחזקאל'ן נישט פערשלאָסען  אַלעס איז אין קיך פרײ װי װאַסער.
28|פּשער און רעטעכער איז שטענדיק א אין קעלער.
29|רי נאַכט האָט מס שעדטעל אונטער איהר שת אַרגטעתענומז, און די גגע װעלט אַרום און אַרום האָט זי אין זיך בעהאַלטען.
30|איז מיטען ער נאַכט האָט זיך אַ רעש-ענדיק קלאַפּען פון פערד און רעדער דערערט אואָ שטײנער.
31|דאָס רעש'ען איז פערשטומט געו דען בײ דעם שטראַהל שײן, ושס האָט פון אַ לאָדען אַרױסגעדרינגט, און פון װאָגען איז ועד אראָב.
32|שװערע בעלי-בתי'שע טריט האָבען דר איבער'ן מרידאָר געאָזס הערען.
33|דאָס האָבען געמוזט קומען הײמישע, וארם זײ אבען מלד די קליעקע פון טהיר געפונען.
34|אױפעעשט, את איז שטזב אַרין.
35|אין דער ברײטער, לאַנגער שוב איז קײנער ניסט.
36|זי איז פול טט שאָטענס ; דער גרױסער װעערלאָמפּ מיט דער ברײטער שײן, װי א באָבע אין א ברײטען פאַרמד, ברענט זיך אײנער אלײן צװישען די שטטענס אין מיטען שטג.
37|די אָנגעקומענע אידען זײנען אין תּמע, ברײע שאען-פּעשז, די ברײטע קאָלנערס זײנען ביז'ן האַלמן רען פערװאָרפען און בײם האַלז מיט אַ ברײטען, רױטען שאל פערבגען ; צװישען די טונקעלע פאלדען, װאָס פערװארפען זיך אין די פּלען, האַלט זיך נאָך אױף דער טונקעלער סוד פון דער נאַכט, װאָס זײ האָבען פון דרױסען מיטגעבראַכט.
38|אױף די קעפּ האָבען זײ שאָפּענע היטלען מיט לאַפּען איבער די אױערען פערבונדען, און אַן אײז-הור איז איבער די היטלען און קאָלנער פערפרױרען.
39|דער אײזהױל װערט פוז דער שטוב-װאַרימקײט צוגאַנגען, און טראָפּען װאַסער רינען פון די היטלעז, פון די פּעלצען ; און בײם דרעהען זיך איבער'ן שטוב לאזען די נאָר זיך שפּורען װאַסער איבער.
40|זײ זײנען צו צום גרױסען אױװען, װאָס איז איז א װינקעל פון שטוב געישטאַנען.
41|דער אױװען האָט זײן היץ פטראײש פאַר זיך געשיקט און נישט צוגעלאָזט
42|צו זיך.
43|די װאַרישײט האָט זײ ארומגענומען.
44|זײ אבען זל דיפּעלצען פּעלצען אױסגעטאָן און זײנען געבליבען שטעהן אין די דיקע מאַני לען, אַרומגעגאַרטעלט מיט רױטע גאַרטלען.
45|ערשט דאן האָבען זיד אָנגעהױבען די בערד צו װײזען.
46|טהײל װײס טהײל שװאַרץ, טהײל קורצע טהײל לאַנגע.
47|די יונגערע האָבען דעם ארט בײ'ם אױװען פאר די אַלטע טבגעלאָזט און אלײן זײנען זײ געפאַלען װער אױף אַ באַנק.
48|װער אױף אַ טיש, און האָבען אָנגעהױבען צו דרעמלען.
49|די אַלטע זײנען שטילשװײגענד ארום אױװען געזעסען.
50|און א מאָל האָט אײנער דעם יאַנדערען א קשיא פון געשעפט געפרעגט, אזן שד אַ לאַנגע װײלע האָט יענער איהם א תּירוץ אָבגעענטפערט.
51|די נאַכט האָט ערשט יעצט אָנגעהױבען דורכ'ן פענסטער ארײנצוקוקען דורך גרױע ברילען, און עס האָט זיך געדאַכט, אַזױ װי מען װאָלט אַ פּאָר טונען ליכטיגקײט אין א פינסטערען נאכט-ים אַרײנגעגאָסען.
52|און דאָס ליכטיגקײט האָט דאָס פינסטערניש קױם מיט עטװאָס נאר גרױער געמאַכט.
53|פון ערגעדװאו האָט זיך אַ לאַנגער, אױסגעצױגענער קוקירעקו פון אַן אױפגעכאַפּטען האָהן געלאָזט הערען ; רעדער קלאַפּען אױף שטײנער און זײ שלאָגען אָב אײנזאַם אין רער שטילער נאַכט.
54|די נאַכט קוקט אלץ מעהר מיט גרױע ברילען דורכ'ן פענסטער אַרײן, אַפּנים מען גיסט אַלץ מעהר טונען ליכט אין דער פינסטערגיש.
55|פון א צװײטער שטוב הערט זיך רודערען, װאַסער גיסען, דערנאָר טריט-אױף און ארטבגעהז.
56|באַלד דערהערט זיך פון דער צװײטער שטוב אַן אַלט קול, װאָס זאָגט מיט זעהר א װײנענדיגען ניגון תּהלים.
57|און דאָס קול געהט זיך פאר זיך אין א װײטען װעג.
58|באַלד מישט זיך ארײן א דרײסט דין-יונג קול'כעל, װאָס אײלט זיך און װי עפּעס מיט א פּרעטענזיע מישט עס זיך אַרײן אין דעם אַלטען טרױעריגען ני.נון: אמר אבײ און װיל עס פערטומלען.
59|דאָס אַלטע ערנסטע קול, װי פאַר זיך, מײדט אױס דאס יוננזי קול'כעל און װײנט אין דער װעלט
60|ארײן.
61|די יוען בײ'ם ארװש איז דער.,שטוב.
62|ערהערענדיק א קול תּורה, כאפּען זל אױף, רײבען זיך די אױגען.
63|אײנער װאַשט זיך די הענד אָן פענסטער.
64|ען נעהמט באַלד ארױס א ור'ל מן קעשענע.
65|און מען ענטפערט טב מיט אַ שאַרפען, האַלטשען אַקצענט: למה רגשו גױם און עס דאַכט זיד, אַז די קולות גיבען זיך אָב צײנער דעם צװײטען א שלום עליכם אײדער ען זחט זיך נאָך.
66|און גרױער קוקט אַלץ די נאַכט ארײן כ'ן פענסטער, אָדער
67|פאַרנאַכט.
68|פון דער קיך הערט זיך האָש האַקען, דעראָך אײער קנאקען.
69|מן גיסט עפּעס איבער פון אײן כלי איז דער צװײטער.
70|די טהיר עפענט זיד, מענשען דרעהען זיך, מען קומט ארײן, שז גיסט עפּעס אָן, אָדער מען לענט עפּעס אַנידער און מן גחט זיך זײן װענ.
71|פון א װײטער שטוב הערט זיך אַ קינד װיעען.
72|און עס דאַכט זיד, אַז די קולות מישען זיך אלע צוזאַמען: דעם יודען'ס טרױעריגער תּהלים זאָגען, דאָס דינע גמרא ניגונ'דעל, דער דיענסט'ס האָלץ-האַקען, דאָס פײער קנאַקען, און די קולות גריסען און זאָגען דעם נײ-געבױרענעם טאָנ, װאָס קוקט דורכ'ן פענסטער ארײן: גוט מאָרגען!
73|איזי דער שטוב איז שױן האַלב ליכטיג.
74|אױפ'ן טש זײנען אָנגעלענט פּעלצען, קאאָטעס און שאַלען.
75|אַ הױכער יונג שלאָפט אױף דער קאַנאַפּע און שטאַרט זײנע לאַנגע פיס אין דער װעלט אַרײן.
76|טהיר און מױערען זײנען שױן אַפען, און מען דרעהט זיך אַרײן און ארױס.
77|יודען קומען אָן פון פערשיעדענע עלטער, נידריגע און הױכע, מיט לאַנגע און קורצע בער.
78|מען גיט זיך טב שלום עליכם אײנער דעם צװײטען און תּוך כדי דבור איז מען שױן אין מיטען געשעפט.
