1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
2.wav|esss sa far puritog, der schnee euf di felder zulost sich un geht, us iber der euberdek fun der weisser schnee-welt weisen sich schsin un dort schwarze erd-fleken areuss.|esss sa far puritog, der schnee euf di felder zulost sich un geht, us iber der euberdek fun der weisser schnee-welt weisen sich schsin un dort schwarze erd-fleken areuss.
3.wav|der seumen.|der seumen.
4.wav|ussler hot sich iber dem ganzen winter hinter der schnee-dek in er erd eufgehalten is weich geworen, zspolten, un seine sprozendige worzlen heuben an zu nogen chiunh fun der mmerd.|ussler hot sich iber dem ganzen winter hinter der schnee-dek in er erd eufgehalten is weich geworen, zspolten, un seine sprozendige worzlen heuben an zu nogen chiunh fun der mmerd.
5.wav|un in di schwarze erd-fleken is ess zu derkenen.|un in di schwarze erd-fleken is ess zu derkenen.
6.wav|as di mame erd is trogedik.|as di mame erd is trogedik.
7.wav|weit euf beide seiten weg schrschen di lipen-beumer, geht an einsmer wanderer mit'n peel euf's pleize un mit'n steken in der hand.|weit euf beide seiten weg schrschen di lipen-beumer, geht an einsmer wanderer mit'n peel euf's pleize un mit'n steken in der hand.
8.wav|schwarze krohen flihen rt weit iber'n weg, fun beum zu beum, un scharen tb mim seiere greue fisslech di weisse, lange schnee-schnirler, woss seinen euf di zweigen fun di beumer.|schwarze krohen flihen rt weit iber'n weg, fun beum zu beum, un scharen tb mim seiere greue fisslech di weisse, lange schnee-schnirler, woss seinen euf di zweigen fun di beumer.
9.wav|dem wanderer'ss weg fihrt is stedtel arein, kum mit mit ihm.|dem wanderer'ss weg fihrt is stedtel arein, kum mit mit ihm.
10.wav|un woss mir welen sehn un woss mir welen heren, wegen mir in dem buch beschreibsch:|un woss mir welen sehn un woss mir welen heren, wegen mir in dem buch beschreibsch:
11.wav|kapitl einss distub|kapitl einss distub
12.wav|di tir fun der stub is ofen ganzen mh un a gnze nacht.|di tir fun der stub is ofen ganzen mh un a gnze nacht.
13.wav|un wi in a gasst-heus dreht men sich dort tmid rein un areuss.|un wi in a gasst-heus dreht men sich dort tmid rein un areuss.
14.wav|is'n is sch r' ischkl gbiner'ss stub, hor schd schtdtstub, a schsss-hrbim, aseu, as a wildfreer t arein un sezt sl anier, geht nit on di kschi:,.umss usch kr sogen.|is'n is sch r' ischkl gbiner'ss stub, hor schd schtdtstub, a schsss-hrbim, aseu, as a wildfreer t arein un sezt sl anier, geht nit on di kschi:,.umss usch kr sogen.
15.wav|r' iud?|r' iud?
16.wav|ch seinen e in derheim.|ch seinen e in derheim.
17.wav|ferlost a stodt-bel-hbiss din heim in der frih ohn a glos warimss, geht er sich prosst mit tliss un tfilin ariber zu r' ichskl'n in stub arein, un wi a heimischer, heit er einer fun di dienssmen, as si sl ihm a s thei derlargsch.|ferlost a stodt-bel-hbiss din heim in der frih ohn a glos warimss, geht er sich prosst mit tliss un tfilin ariber zu r' ichskl'n in stub arein, un wi a heimischer, heit er einer fun di dienssmen, as si sl ihm a s thei derlargsch.
18.wav|mer is mssugl di tub zu a glesel mschtsch: noch ihm smt men arein in a seunterimen noch'n gisches.|mer is mssugl di tub zu a glesel mschtsch: noch ihm smt men arein in a seunterimen noch'n gisches.
19.wav|s der frosst knakt, un men wil sich di glieder onwarschen.|s der frosst knakt, un men wil sich di glieder onwarschen.
20.wav|un wer schmuem hor, as men kocht bei mlchh'len r' ichskl'ss weib dem kmbborschtsch.|un wer schmuem hor, as men kocht bei mlchh'len r' ichskl'ss weib dem kmbborschtsch.
21.wav|zu nehmen in.,stub is nit kein chrph, der mnhg is scheun aseu: a glesel btrschtt a trunk wasser.|zu nehmen in.,stub is nit kein chrph, der mnhg is scheun aseu: a glesel btrschtt a trunk wasser.
22.wav|feult sich nor a odr bel-hbiss'te dem euuen unterzuheizen, nehmt si ihr tepel un tscht ess sch lchhess kich ariber.|feult sich nor a odr bel-hbiss'te dem euuen unterzuheizen, nehmt si ihr tepel un tscht ess sch lchhess kich ariber.
23.wav|un in mschh'm kih gefinen sich d ganze stadt mepled.|un in mschh'm kih gefinen sich d ganze stadt mepled.
24.wav|mheilml berteuischen sich di beli-hbiss'tess mit di teplech, wert dort lebsch.|mheilml berteuischen sich di beli-hbiss'tess mit di teplech, wert dort lebsch.
25.wav|macht sich a iungel a brugs in der heim, halt er sich euf in r' ichskl'ss stalen.|macht sich a iungel a brugs in der heim, halt er sich euf in r' ichskl'ss stalen.
26.wav|zu sorgen is nischt do woss, breut un semel|zu sorgen is nischt do woss, breut un semel
27.wav|ugren bei ichskl'n nischt ferschlossen aless is in kich frei wi wasser.|ugren bei ichskl'n nischt ferschlossen aless is in kich frei wi wasser.
28.wav|pscher un retecher is stendik in keler.|pscher un retecher is stendik in keler.
29.wav|ri nacht hot mss schedtel unter ihr schss argtessenums, un di gge welt arum un arum hot si in sich behalten.|ri nacht hot mss schedtel unter ihr schss argtessenums, un di gge welt arum un arum hot si in sich behalten.
30.wav|is miten er nacht hot sich a resch-endik klapen fun ferd un reder derert uo steiner.|is miten er nacht hot sich a resch-endik klapen fun ferd un reder derert uo steiner.
31.wav|doss resch'en is ferstumt geu den bei dem strahl schein, uschss hot fun a loden areussgedringt, un fun wogen is ued rob.|doss resch'en is ferstumt geu den bei dem strahl schein, uschss hot fun a loden areussgedringt, un fun wogen is ued rob.
32.wav|schwere beli-bssi'sche trit hoben dr iber'n mridor geosss heren.|schwere beli-bssi'sche trit hoben dr iber'n mridor geosss heren.
