ashtetl-1|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.
ashtetl-2|עסז זאַ פאַר פּוריטאָג, דער שנעע אױף די פעלדער צולאָזט זיך און געהט, אוז איבער דער אױבערדעק פון דער װײסער שנעע-װעלט װײזען זיך שזין א און דאָרט שװאַרצע ערד-פלעקען אַרױס.|עסז זאַ פאַר פּוריטאָג, דער שנעע אױף די פעלדער צולאָזט זיך און געהט, אוז איבער דער אױבערדעק פון דער װײסער שנעע-װעלט װײזען זיך שזין א און דאָרט שװאַרצע ערד-פלעקען אַרױס.
ashtetl-3|דער זױמען.|דער זױמען.
ashtetl-4|ותלער האָט זיך איבער דעם גאַנצען װינטער הינטער דער שנעע-דעק אין ער ערד אױפגעהאַלטען — איז װײך געװאָרען, צשפּאָלטען, און זײנע שפּראָצענדיגע װאָרצלען הױבען אַן צו נאָגען חיונה פון דער ממערד.|ותלער האָט זיך איבער דעם גאַנצען װינטער הינטער דער שנעע-דעק אין ער ערד אױפגעהאַלטען — איז װײך געװאָרען, צשפּאָלטען, און זײנע שפּראָצענדיגע װאָרצלען הױבען אַן צו נאָגען חיונה פון דער ממערד.
ashtetl-5|און אין די שװאַרצע ערד-פלעקען איז עס צו דערקענען.|און אין די שװאַרצע ערד-פלעקען איז עס צו דערקענען.
ashtetl-6|אַז די מאַמע ערד איז „טראָגעדיק"...|אַז די מאַמע ערד איז „טראָגעדיק"...
ashtetl-7|װײט אױף בײדע זײטען װעג שרשען די ליפּען-בױמער, געהט אַן אײנזאמער װאַנדערער מיט'ן פּעעל אױפ'ז פּלײצע און מיט'ן שטעקען אין דער האַנד.|װײט אױף בײדע זײטען װעג שרשען די ליפּען-בױמער, געהט אַן אײנזאמער װאַנדערער מיט'ן פּעעל אױפ'ז פּלײצע און מיט'ן שטעקען אין דער האַנד.
ashtetl-8|שװאַרצע קראָהען פליהען ארט װײט איבער'ן װעג, פון בױם צו בױם, און שאַרען טב מימ זײערע גרױע פיסלעך די װײסע, לאַנגע שנעע-שנירלער, װאָס זײנען אױף די צװײגען פון די בױמער.|שװאַרצע קראָהען פליהען ארט װײט איבער'ן װעג, פון בױם צו בױם, און שאַרען טב מימ זײערע גרױע פיסלעך די װײסע, לאַנגע שנעע-שנירלער, װאָס זײנען אױף די צװײגען פון די בױמער.
ashtetl-9|דעם װאַנדערער'ס װעג פיהרט איז „שטעדטעל" אַרײן, קום מיט מיט איהם.|דעם װאַנדערער'ס װעג פיהרט איז „שטעדטעל" אַרײן, קום מיט מיט איהם.
ashtetl-10|און װאָס מיר װעלען זעהן און װאָס מיר װעלען הערען, װעגען מיר אין דעם בוך בעשרײבש :|און װאָס מיר װעלען זעהן און װאָס מיר װעלען הערען, װעגען מיר אין דעם בוך בעשרײבש :
ashtetl-11|קאַפּיטל איינס דישטוב|קאַפּיטל איינס דישטוב
ashtetl-12|די טיר פון דער „שטוב" איז אָפען א גאַנצען מה און אַ גאנצע נאַכט.|די טיר פון דער „שטוב" איז אָפען א גאַנצען מה און אַ גאנצע נאַכט.
ashtetl-13|און װי אין אַ גאַסט-הױז דרעהט מען זיך דאָרט תּמיד ארײן און אַרױס.|און װי אין אַ גאַסט-הױז דרעהט מען זיך דאָרט תּמיד ארײן און אַרױס.
ashtetl-14|איז'ן איז ש ר' ישקאל גאבינער'ס „שטוב", האָר שד — א שטאדטשטוב, אַ שזת-הרבים, אַזױ, אַז אַ װילדפרעער אט אַרײן און זעצט זל אַניער, געהט ניט אָן די קשיא : ,.ומס וש אקר זאָגען.|איז'ן איז ש ר' ישקאל גאבינער'ס „שטוב", האָר שד — א שטאדטשטוב, אַ שזת-הרבים, אַזױ, אַז אַ װילדפרעער אט אַרײן און זעצט זל אַניער, געהט ניט אָן די קשיא : ,.ומס וש אקר זאָגען.
ashtetl-15|ר' יוד?|ר' יוד?
ashtetl-16|ח זײנען ע אין דערהײם.|ח זײנען ע אין דערהײם.
ashtetl-17|פערלאָזט אַ שטאָדט-בעל-הבית דין הײם אין דער פריה אָהן אַ גלאָז װאַרימס, געהט ער זיך פּראָסט מיט טלית און תּפילין אַריבער צו ר' יחזקאל'ן אין „שטוב" אַרײן, און װי אַ הײמישער, הײט ער אײנער פון די דיענסמען, אַז זי זל איהם אַ אז טהײ דערלאַרגש.|פערלאָזט אַ שטאָדט-בעל-הבית דין הײם אין דער פריה אָהן אַ גלאָז װאַרימס, געהט ער זיך פּראָסט מיט טלית און תּפילין אַריבער צו ר' יחזקאל'ן אין „שטוב" אַרײן, און װי אַ הײמישער, הײט ער אײנער פון די דיענסמען, אַז זי זל איהם אַ אז טהײ דערלאַרגש.
ashtetl-18|מער איז מסוגל די „ טוב" צו אַ גלעזעל משטש : נאָך איהם זמט מען אַרײן אין אַ זױנטערימען נאָכ'ן גישעז.|מער איז מסוגל די „ טוב" צו אַ גלעזעל משטש : נאָך איהם זמט מען אַרײן אין אַ זױנטערימען נאָכ'ן גישעז.
ashtetl-19|אז דער פראָסט קנאַקט, און מען װיל זיך די גליעדער אָנװאַרשען.|אז דער פראָסט קנאַקט, און מען װיל זיך די גליעדער אָנװאַרשען.
ashtetl-20|און װער שמועמ האָר, אַז מען קאָכט בײ מלכה'לען — ר' יחזקאל'ס װײב — דעם קמבבאָרשטש.|און װער שמועמ האָר, אַז מען קאָכט בײ מלכה'לען — ר' יחזקאל'ס װײב — דעם קמבבאָרשטש.
ashtetl-21|צו נעהמען אין .,שטוב" איז ניט קײן חרפּה, דער מנהג איז שױן אַזױ : אַ גלעזעל בטרשטט — אַ טרונק װאַסער.|צו נעהמען אין .,שטוב" איז ניט קײן חרפּה, דער מנהג איז שױן אַזױ : אַ גלעזעל בטרשטט — אַ טרונק װאַסער.
ashtetl-22|פױלט זיך נאָר אַ אאָדר בעל-הבית'טע דעם אױוען אונטערצוהײצען, נעהמט זי איהר טעפּעל און טשט עס ש לכהעס קיך אַריבער.|פױלט זיך נאָר אַ אאָדר בעל-הבית'טע דעם אױוען אונטערצוהײצען, נעהמט זי איהר טעפּעל און טשט עס ש לכהעס קיך אַריבער.
ashtetl-23|און אין משה'מ קיה געפינען זיך ד גאַנצע שטאַדט מעפּלעד.|און אין משה'מ קיה געפינען זיך ד גאַנצע שטאַדט מעפּלעד.
ashtetl-24|מהײלמל בּערטױישען זיך די בעלי-הבית'טעס מיט די טעפּלעך, װערט דאָרט א לעבש.|מהײלמל בּערטױישען זיך די בעלי-הבית'טעס מיט די טעפּלעך, װערט דאָרט א לעבש.
ashtetl-25|מאַכט זיך אַ יונגעל אַ „ברוגז" אין דער הײם, האַלט ער זיך אױף אין ר' יחזקאל'ס שטאַלען.|מאַכט זיך אַ יונגעל אַ „ברוגז" אין דער הײם, האַלט ער זיך אױף אין ר' יחזקאל'ס שטאַלען.
ashtetl-26|צו זאָרגען איז נישט דאָ װאָס, ברױט און זעמעל|צו זאָרגען איז נישט דאָ װאָס, ברױט און זעמעל
ashtetl-27|וגרען בײ יחזקאל'ן נישט פערשלאָסען — אַלעס איז אין קיך פרײ װי װאַסער.|וגרען בײ יחזקאל'ן נישט פערשלאָסען — אַלעס איז אין קיך פרײ װי װאַסער.
ashtetl-28|פּשער און רעטעכער איז שטענדיק א אין קעלער.|פּשער און רעטעכער איז שטענדיק א אין קעלער.
ashtetl-29|רי נאַכט האָט מס שעדטעל אונטער איהר שת אַרגטעתענומז, און די גגע װעלט אַרום און אַרום האָט זי אין זיך בעהאַלטען.|רי נאַכט האָט מס שעדטעל אונטער איהר שת אַרגטעתענומז, און די גגע װעלט אַרום און אַרום האָט זי אין זיך בעהאַלטען.
